pts,elo_i,elo_n,win_equiv,opp_pts,opp_elo_i,opp_elo_n,forecast
94,1592.3608,1584.5492,49.823029,105,1578.1129,1585.9246,0.37903911
105,1578.1129,1585.9246,49.960514,94,1592.3608,1584.5492,0.62096089
96,1462.4777,1458.7192,36.779144,101,1510.7428,1514.5012,0.29870278
101,1510.7428,1514.5012,42.614586,96,1462.4777,1458.7192,0.70129722
101,1420.165,1411.8914,32.000938,105,1440.637,1448.9106,0.61249226
105,1440.637,1448.9106,35.764008,101,1420.165,1411.8914,0.38750774
90,1455.7366,1461.4882,37.066719,89,1663.422,1657.6704,0.34980711
89,1663.422,1657.6704,56.777035,90,1455.7366,1461.4882,0.65019286
92,1297.3292,1319.7538,23.405102,85,1595.5099,1573.0853,0.091778338
85,1595.5099,1573.0853,48.669258,92,1297.3292,1319.7538,0.90822166
98,1329.8839,1328.1685,24.131811,104,1546.6354,1548.3508,0.13903022
104,1546.6354,1548.3508,46.138924,98,1329.8839,1328.1685,0.86096978
80,1428.3173,1421.9836,33.014091,99,1534.873,1541.2067,0.23343235
99,1534.873,1541.2067,45.399696,80,1428.3173,1421.9836,0.76656765
90,1449.5699,1445.3422,35.396233,94,1448.9106,1453.1384,0.3608098
94,1448.9106,1453.1384,36.200836,90,1449.5699,1445.3422,0.6391902
96,1549.0439,1555.1021,46.834396,86,1319.7538,1313.6957,0.67792535
86,1319.7538,1313.6957,22.890131,96,1549.0439,1555.1021,0.32207462
84,1571.797,1563.7842,47.723717,106,1651.903,1659.9158,0.26177311
106,1651.903,1659.9158,56.977242,84,1571.797,1563.7842,0.73822689
86,1421.9836,1420.2701,32.84132,95,1679.5747,1681.2882,0.11320037
95,1679.5747,1681.2882,58.837185,86,1421.9836,1420.2701,0.88679963
89,1458.7192,1457.2633,36.628101,90,1585.9246,1587.3805,0.21283865
90,1585.9246,1587.3805,50.10582,89,1458.7192,1457.2633,0.78716135
107,1514.5012,1521.8826,43.386986,89,1446.0737,1438.6924,0.72502911
89,1446.0737,1438.6924,34.713387,107,1514.5012,1521.8826,0.27497089
105,1657.6704,1672.0596,58.044369,95,1656.4778,1642.0886,0.36151814
95,1656.4778,1642.0886,55.363667,105,1657.6704,1672.0596,0.63848186
88,1645.4587,1634.0026,54.61425,91,1488.7844,1500.2406,0.81420016
91,1488.7844,1500.2406,41.119545,88,1645.4587,1634.0026,0.18579984
86,1411.8914,1390.7206,29.914055,104,1412.2377,1433.4084,0.63960558
104,1412.2377,1433.4084,34.173306,86,1411.8914,1390.7206,0.36039442
100,1521.8826,1516.303,42.803253,109,1555.1021,1560.6816,0.31715596
109,1555.1021,1560.6816,47.40662,100,1521.8826,1516.303,0.68284404
115,1410.4532,1406.0192,31.416618,122,1461.4882,1465.9222,0.29537356
122,1461.4882,1465.9222,37.528038,115,1410.4532,1406.0192,0.70462644
104,1541.2067,1554.6842,46.791451,96,1563.7842,1550.3066,0.33056897
96,1563.7842,1550.3066,46.340729,104,1541.2067,1554.6842,0.66943103
120,1584.5492,1579.2224,49.288616,122,1457.2633,1462.5901,0.53918701
122,1457.2633,1462.5901,37.181274,120,1584.5492,1579.2224,0.46081299
103,1453.9008,1450.033,35.879856,111,1548.3508,1552.2186,0.24613285
111,1548.3508,1552.2186,46.537758,103,1453.9008,1450.033,0.75386715
89,1323.8987,1321.1298,23.523033,94,1634.0026,1636.7715,0.22979747
94,1634.0026,1636.7715,54.872063,89,1323.8987,1321.1298,0.77020252
111,1453.1384,1472.4194,38.205566,86,1554.6842,1535.4032,0.49777547
86,1554.6842,1535.4032,44.797031,111,1453.1384,1472.4194,0.50222456
99,1406.0192,1401.8419,31.003431,101,1544.0935,1548.2708,0.44542491
101,1544.0935,1548.2708,46.130657,99,1406.0192,1401.8419,0.55457509
103,1420.2701,1409.2341,31.736036,115,1334.4576,1345.4937,0.47959387
115,1334.4576,1345.4937,25.668552,103,1420.2701,1409.2341,0.52040613
95,1500.2406,1506.0565,41.72953,89,1328.1685,1322.3525,0.60225761
89,1328.1685,1322.3525,23.62813,95,1500.2406,1506.0565,0.39774242
101,1573.0853,1579.16,49.282341,79,1438.6924,1432.6177,0.79401094
79,1438.6924,1432.6177,34.092686,101,1573.0853,1579.16,0.20598906
123,1390.7206,1408.1454,31.627731,113,1659.9158,1642.491,0.27409074
113,1659.9158,1642.491,55.400677,123,1390.7206,1408.1454,0.72590923
93,1408.1454,1399.0546,30.728914,111,1432.6177,1441.7085,0.32815975
111,1432.6177,1441.7085,35.022682,93,1408.1454,1399.0546,0.67184025
110,1560.6816,1566.3334,47.983643,96,1472.4194,1466.7677,0.74719816
96,1472.4194,1466.7677,37.6161,110,1560.6816,1566.3334,0.25280184
92,1579.2224,1566.3577,47.986115,98,1313.6957,1326.5604,0.72168767
98,1313.6957,1326.5604,23.991924,92,1579.2224,1566.3577,0.27831233
91,1681.2882,1672.2487,58.060772,95,1672.0596,1681.0991,0.65221065
95,1672.0596,1681.0991,58.821102,91,1681.2882,1672.2487,0.34778935
95,1433.4084,1430.1432,33.840763,98,1462.5901,1465.8553,0.32221103
98,1462.5901,1465.8553,37.521069,95,1433.4084,1430.1432,0.67778897
97,1642.491,1633.9985,54.613876,103,1516.303,1524.7954,0.53761637
103,1516.303,1524.7954,43.691357,97,1642.491,1633.9985,0.46238366
88,1409.2341,1405.0858,31.324116,101,1548.2708,1552.4191,0.20165133
101,1548.2708,1552.4191,46.558399,88,1409.2341,1405.0858,0.79834867
101,1552.2186,1546.3065,45.927719,104,1636.7715,1642.6836,0.5222156
104,1636.7715,1642.6836,55.418385,101,1552.2186,1546.3065,0.4777844
96,1642.0886,1648.4342,55.944241,83,1587.3805,1581.0349,0.7090081
83,1587.3805,1581.0349,49.470795,96,1642.0886,1648.4342,0.2909919
85,1450.033,1455.0437,36.398064,82,1321.1298,1316.119,0.54149938
82,1321.1298,1316.119,23.095293,85,1450.033,1455.0437,0.45850065
91,1566.3577,1548.5417,46.158634,99,1430.1432,1447.9591,0.79572064
99,1430.1432,1447.9591,35.665855,91,1566.3577,1548.5417,0.20427936
81,1345.4937,1333.4739,24.596695,99,1506.0565,1518.0763,0.41371518
99,1506.0565,1518.0763,42.988865,81,1345.4937,1333.4739,0.58628482
88,1579.16,1566.3044,47.980694,101,1465.9222,1478.7778,0.51904154
101,1465.9222,1478.7778,38.870113,88,1579.16,1566.3044,0.48095849
102,1455.0437,1465.864,37.521973,89,1322.3525,1311.5322,0.54690802
89,1322.3525,1311.5322,22.707918,102,1455.0437,1465.864,0.45309198
77,1535.4032,1521.2869,43.324707,94,1445.3422,1459.4585,0.48570061
94,1445.3422,1459.4585,36.855885,77,1535.4032,1521.2869,0.51429939
83,1326.5604,1333.999,24.642986,82,1633.9985,1626.5599,0.23252472
82,1633.9985,1626.5599,53.915298,83,1326.5604,1333.999,0.76747525
98,1316.119,1310.9407,22.658251,110,1401.8419,1407.0203,0.25557297
110,1401.8419,1407.0203,31.515951,98,1316.119,1310.9407,0.74442703
106,1521.2869,1517.3781,42.915791,112,1581.0349,1584.9437,0.2850427
112,1581.0349,1584.9437,49.862488,106,1521.2869,1517.3781,0.7149573
87,1465.8553,1462.9779,37.221603,101,1681.0991,1683.9766,0.14007235
101,1681.0991,1683.9766,59.065125,87,1465.8553,1462.9779,0.85992765
101,1672.2487,1667.459,57.643242,105,1642.6836,1647.4733,0.40000218
105,1642.6836,1647.4733,55.856758,101,1672.2487,1667.459,0.59999782
96,1441.7085,1445.0593,35.367123,89,1333.999,1330.6482,0.76775396
89,1333.999,1330.6482,24.348457,96,1441.7085,1445.0593,0.23224604
99,1566.3334,1550.104,46.319832,110,1546.3065,1562.5359,0.66617382
110,1546.3065,1562.5359,47.59623,99,1566.3334,1550.104,0.33382618
116,1405.0858,1416.425,32.454727,107,1548.5417,1537.2025,0.43778598
107,1548.5417,1537.2025,44.984074,116,1405.0858,1416.425,0.56221402
117,1447.9591,1452.9072,36.176918,103,1333.4739,1328.5258,0.77463597
103,1333.4739,1328.5258,24.162958,117,1447.9591,1452.9072,0.22536403
92,1518.0763,1529.2695,44.158279,84,1478.7778,1467.5846,0.41352159
84,1478.7778,1467.5846,37.701221,92,1518.0763,1529.2695,0.58647841
87,1552.4191,1548.7749,46.182705,93,1626.5599,1630.2041,0.26846284
93,1626.5599,1630.2041,54.258606,87,1552.4191,1548.7749,0.73153716
115,1566.3044,1574.4913,48.811485,89,1466.7677,1458.5808,0.75925982
89,1466.7677,1458.5808,36.764778,115,1566.3044,1574.4913,0.24074018
82,1311.5322,1309.5289,22.539993,105,1648.4342,1650.4375,0.074812591
105,1648.4342,1650.4375,56.126118,82,1311.5322,1309.5289,0.92518741
112,1550.3066,1556.6915,46.997654,104,1562.5359,1556.151,0.6236921
104,1562.5359,1556.151,46.942158,112,1550.3066,1556.6915,0.3763079
89,1458.5808,1447.2817,35.59602,111,1465.864,1477.1631,0.35033393
111,1465.864,1477.1631,38.701229,89,1458.5808,1447.2817,0.64966607
93,1548.7749,1558.7816,47.212036,87,1524.7954,1514.7887,0.3923108
87,1524.7954,1514.7887,42.644691,93,1548.7749,1558.7816,0.6076892
92,1462.9779,1460.0784,36.92025,95,1517.3781,1520.2776,0.29135782
95,1517.3781,1520.2776,43.219162,92,1462.9779,1460.0784,0.70864218
105,1399.0546,1392.2705,30.064909,120,1459.4585,1466.2426,0.28427392
120,1459.4585,1466.2426,37.561398,105,1399.0546,1392.2705,0.71572608
116,1310.9407,1352.5819,26.312407,99,1647.4733,1605.832,0.074959934
99,1647.4733,1605.832,51.925407,116,1310.9407,1352.5819,0.92504007
117,1550.104,1558.5751,47.190865,102,1537.2025,1528.7314,0.65699089
102,1537.2025,1528.7314,44.102165,117,1550.104,1558.5751,0.34300911
