game_id,year_id,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,forecast
200704030lal,2007,lal,lakers,105,1489.4489,1479.9551,38.857895,den,nuggets,111,1530.0303,1539.524,0.58468616
200704030mem,2007,mem,grizzlies,111,1345.9889,1343.1997,25.345928,pho,suns,116,1654.6647,1657.4539,0.23125571
200704030mem,2007,pho,suns,116,1654.6647,1657.4539,56.641842,mem,grizzlies,111,1345.9889,1343.1997,0.76874429
200704030mia,2007,tor,raptors,89,1539.8036,1535.9769,44.722107,mia,heat,92,1533.7731,1537.5997,0.36797082
200704030mia,2007,mia,heat,92,1533.7731,1537.5997,44.890865,tor,raptors,89,1539.8036,1535.9769,0.63202918
200704030mil,2007,nok,pelicans,119,1464.2162,1480.6062,38.926014,mil,bucks,101,1384.5955,1368.2054,0.47070545
200704030mil,2007,mil,bucks,101,1384.5955,1368.2054,27.639442,nok,pelicans,119,1464.2162,1480.6062,0.52929455
200704030min,2007,min,timberwolves,88,1405.3663,1396.0619,30.308645,cle,cavaliers,101,1575.1625,1584.4669,0.40088502
200704030min,2007,cle,cavaliers,101,1575.1625,1584.4669,49.685238,min,timberwolves,88,1405.3663,1396.0619,0.59911501
200704030sac,2007,dal,mavericks,97,1750.0785,1752.6208,64.308441,sac,kings,93,1444.1744,1441.6321,0.76589566
200704030sac,2007,sac,kings,93,1444.1744,1441.6321,34.882053,dal,mavericks,97,1750.0785,1752.6208,0.23410435
200704030sas,2007,sea,thunder,91,1456.6145,1453.8903,36.144745,sas,spurs,110,1717.9154,1720.6396,0.11107421
200704030sas,2007,sas,spurs,110,1717.9154,1720.6396,61.932751,sea,thunder,91,1456.6145,1453.8903,0.88892579
200704040den,2007,den,nuggets,120,1539.524,1542.4703,45.396545,sac,kings,115,1441.6321,1438.6858,0.75752497
200704040den,2007,sac,kings,115,1441.6321,1438.6858,34.580227,den,nuggets,120,1539.524,1542.4703,0.24247503
200704040det,2007,det,pistons,88,1662.4176,1635.7383,54.655453,chi,bulls,106,1575.9739,1602.6532,0.74521571
200704040det,2007,chi,bulls,106,1575.9739,1602.6532,51.488224,det,pistons,88,1662.4176,1635.7383,0.25478429
200704040hou,2007,hou,rockets,99,1617.3922,1595.7931,50.812756,gsw,warriors,110,1481.3485,1502.9476,0.79556084
200704040hou,2007,gsw,warriors,110,1481.3485,1502.9476,41.267754,hou,rockets,99,1617.3922,1595.7931,0.20443916
200704040lac,2007,lac,clippers,90,1530.9343,1535.7209,44.695477,lal,lakers,82,1479.9551,1475.1685,0.70455974
200704040lac,2007,lal,lakers,82,1479.9551,1475.1685,38.357513,lac,clippers,90,1530.9343,1535.7209,0.29544026
200704040mil,2007,mil,bucks,98,1368.2054,1375.4417,28.321926,bos,celtics,89,1393.3807,1386.1445,0.60604692
200704040mil,2007,bos,celtics,89,1393.3807,1386.1445,29.345675,mil,bucks,98,1368.2054,1375.4417,0.39395308
200704040njn,2007,njn,nets,101,1472.1805,1477.6899,38.621014,atl,hawks,86,1369.7777,1364.2683,0.76226258
200704040njn,2007,atl,hawks,86,1369.7777,1364.2683,27.27153,njn,nets,101,1472.1805,1477.6899,0.23773742
200704040nok,2007,sea,thunder,92,1453.8903,1448.14,35.551105,nok,pelicans,101,1480.6062,1486.3564,0.32531857
200704040nok,2007,nok,pelicans,101,1480.6062,1486.3564,39.528049,sea,thunder,92,1453.8903,1448.14,0.67468143
200704040nyk,2007,nyk,knicks,90,1420.8665,1414.4912,32.131409,phi,sixers,92,1438.5641,1444.9393,0.61627579
200704040nyk,2007,phi,sixers,92,1438.5641,1444.9393,35.221664,nyk,knicks,90,1420.8665,1414.4912,0.38372421
200704040orl,2007,tor,raptors,111,1535.9769,1542.0618,45.354176,orl,magic,108,1459.5879,1453.5031,0.46607333
200704040orl,2007,orl,magic,108,1459.5879,1453.5031,36.104706,tor,raptors,111,1535.9769,1542.0618,0.53392667
200704040por,2007,uta,jazz,89,1589.6062,1579.9337,49.229965,por,trailblazers,94,1393.765,1403.4375,0.63453138
200704040por,2007,por,trailblazers,94,1393.765,1403.4375,31.033184,uta,jazz,89,1589.6062,1579.9337,0.36546865
200704040was,2007,was,wizards,100,1490.8325,1475.5731,38.399788,cha,hornets,108,1421.2607,1436.5201,0.72634035
